Attribute,MDNet,CCOT,SRDCFdecon,HDT,Staple,SRDCF,DeepSRDCF,CNN_SVM,CF2,LCT,DSST,MEEM,KCF,SAMF
illumination variation,0.690255033104633,0.636765625790885,0.624143384716192,0.556993861061675,0.568212240131352,0.576468577077844,0.58850681851131,0.556310094612184,0.559557987626098,0.587714407388479,0.561159906003791,0.533384438874345,0.493451609973016,0.513411290850584
out-of-plane rotation,0.700750442561121,0.659130811476089,0.63269729496767,0.584404821893235,0.574847281199233,0.598580376349148,0.629736892825773,0.581880749098645,0.586740530313492,0.624034767153081,0.535604015509461,0.55784814632864,0.495460933581644,0.558756336787056
scale variation,0.704145050230152,0.657990571230257,0.63392893534578,0.523499673917384,0.551430303071825,0.586854170484653,0.627900638171382,0.513127689999295,0.531102825203157,0.553113931348381,0.545831933968195,0.497514251494498,0.426578121773604,0.507053263632817
occlusion,0.693430014122682,0.697645151515718,0.642216853708082,0.602893847612906,0.59309435506001,0.626566097285108,0.628212969124019,0.562942573010582,0.606115808389147,0.626633494144429,0.532130904071891,0.551755319450885,0.51364809461266,0.611925754740591
deformation,0.709128129330453,0.656451495306864,0.626464176396717,0.626647613215912,0.618114013320621,0.634703502162126,0.617320372778846,0.639997171371448,0.625574002375226,0.667912356006733,0.505944516533626,0.559996324058521,0.533941863644581,0.625070094592196
motion blur,0.682920350614027,0.665735957089373,0.605698451527604,0.614167344363433,0.54056668758089,0.60078217789695,0.625187143608599,0.565275722970516,0.615717545139623,0.524103363908072,0.454510276240477,0.540754267932392,0.496519095385524,0.460801478667384
fast motion,0.666189688745071,0.651849027788214,0.603318425871002,0.573658970078784,0.507740194889705,0.569084601090978,0.608227242868428,0.54474244576509,0.577608371780869,0.534387978430778,0.428164523398184,0.552848306287001,0.459480399332989,0.483004231233012
in-plane rotation,0.685236213677373,0.625259179151922,0.598366753596656,0.579994383973564,0.579915621498642,0.565726223594662,0.59577927789637,0.570643192673722,0.581829730014117,0.592116700727762,0.563413820827679,0.535353568506936,0.49718181606816,0.524736525426795
out of view,0.707614062369588,0.725709732841619,0.6472995274863,0.568987723264199,0.546921688510579,0.555230210571916,0.618954845533857,0.570641275361676,0.575252015517283,0.594407296650261,0.461769751830778,0.605520051601602,0.549902349934936,0.555188549768295
background clutter,0.691785660386838,0.601321810400455,0.619021385690838,0.609535225222546,0.575814134025749,0.587266242086796,0.591331199291208,0.592970913383282,0.622905898178847,0.587138753041661,0.517374961818204,0.56878311934185,0.534885988245501,0.520492509816901
low resolution,0.64436191642952,0.562353939584219,0.436134015080787,0.550795464135582,0.438307086026789,0.42632031231369,0.352436792860208,0.460847665284488,0.55705444943143,0.286156939580474,0.408302125319258,0.359820899833323,0.311743023130457,0.388482009699494
